,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank,generation
18,7.588 9.887 15.188 55.202,0,0,0,3.099 6.092 6.692 6.750,0,0,0,0,0,6.787 6.939 7.651 8.729,0,12,False,18.604075290319248,0.4574497767857143,57.44990091338455,0.48333333333333334,12.0,0.01483050847457626,120.0,63.80976787200641,0.140625,0.875,0.015625,0.7250000000000001,,0
19,11.077 16.530 18.219 29.971,1.681 3.827 6.719 14.046,2.413 2.975 38.692 39.920,135.604 193.881 413.092 424.076,7.059 7.264 8.084 9.979,0,0,0.233 0.242 0.565 0.785,0,0,0,0.041 0.101 0.286 0.631,13,False,65.54747948082093,0.5078125,134.0497687978973,0.475,28.0,0.01459854014598539,120.0,63.39196907424098,0.015625,1.0,0.015625,0.17500000000000002,,0
20,10.289 10.706 36.628 37.398,0,0,71.623 206.031 304.367 333.151,2.158 8.080 9.173 10.285,27.983 154.996 615.909 705.194,0.038 0.089 0.661 0.697,0,0,0,0,0.045 0.315 0.365 0.800,36,False,52.345057685586525,0.4944196428571429,114.8998018267691,0.475,24.0,0.01459854014598539,120.0,63.00793248282039,0.015625,1.0,0.015625,0.39999999999999997,,0
21,0,0,0.843 3.676 10.572 11.256,0,0,0,0,0,19.951 21.805 27.570 30.768,0,6.712 7.538 7.737 8.309,0.162 0.346 0.758 0.869,45,False,29.029593269979788,0.4522879464285714,76.59986788451273,0.475,16.0,0.01459854014598539,120.0,61.92847338791429,0.015625,1.0,0.015625,0.875,,0
22,0,0,0,68.565 198.832 326.700 509.610,0,52.583 136.635 431.272 778.257,0.056 0.073 0.784 1.122,0,20.130 21.439 27.039 29.273,0,7.278 7.396 7.812 8.358,0,8,False,40.2641091459424,0.48158482142857145,95.74983485564091,0.475,20.0,0.010471204188481638,120.0,60.9692518742363,0.046875,0.9642857142857143,0.011160714285714413,0.2,,0
23,0,0,1.234 3.030 39.082 44.151,155.204 203.722 301.801 662.543,0,35.593 50.421 148.926 532.770,0.057 0.064 0.390 0.437,0,19.932 22.976 25.175 26.220,1.428 4.077 53.260 55.207,0,0,24,False,52.324998519074796,0.5047433035714286,114.8998018267691,0.475,24.0,0.010471204188481638,120.0,63.64305547284565,0.046875,0.9642857142857143,0.011160714285714413,0.05000000000000001,,0
24,0,0,0,159.116 179.062 197.068 525.815,3.146 6.020 7.499 9.162,20.423 129.354 256.063 826.393,0.038 0.068 0.073 0.651,0.250 0.280 0.333 0.778,0,2.218 3.055 48.389 76.373,0,0,0,False,52.31208270904391,0.4732142857142857,114.8998018267691,0.4666666666666667,24.0,0.0,120.0,64.05538624345368,0.0,1.0,0.0,0.575,,0
25,0,3.960 5.107 9.343 9.729,3.095 3.427 17.311 32.402,0,0,0,0.043 0.050 0.107 1.145,0,19.187 23.973 28.677 32.051,0.554 3.377 51.673 75.070,0,0,2,False,40.1433986411546,0.4987444196428571,95.74983485564091,0.4666666666666667,20.0,0.0,120.0,64.76238276094341,0.0,1.0,0.0,0.9750000000000001,,0
26,0,1.179 1.543 4.271 23.719,0,69.065 127.566 260.276 683.950,6.675 7.902 7.967 8.283,60.821 112.889 497.478 1044.068,0,0.254 0.267 0.302 0.874,0,0,7.498 7.621 7.956 8.401,0,4,False,52.34599548093233,0.48437500000000006,114.8998018267691,0.4666666666666667,24.0,0.0,120.0,62.978395135442575,0.0,1.0,0.0,0.65,,0
27,11.867 12.186 19.276 22.118,1.803 2.315 7.759 25.165,0,120.524 191.380 691.736 741.505,4.057 4.302 9.730 10.070,63.690 70.435 216.729 257.076,0.059 0.073 0.259 0.410,0.252 0.263 0.311 0.442,0,3.054 4.109 17.532 31.326,7.001 7.729 7.876 7.963,0.087 0.173 0.336 0.522,7,False,113.20122117505281,0.5,191.49966971128183,0.4666666666666667,40.0,0.0,120.0,64.0,0.0,1.0,0.0,0.5,,0
28,0,1.314 1.610 4.488 21.717,0,136.293 203.965 553.490 577.448,2.083 2.880 7.411 9.041,0,0.088 0.092 0.418 0.761,0.235 0.249 0.432 0.889,0,1.122 2.534 47.378 82.794,0,0,9,False,52.3028136585461,0.4896763392857143,114.8998018267691,0.4666666666666667,24.0,0.0,120.0,64.35294152947536,0.0,1.0,0.0,0.8250000000000001,,0
29,0,2.953 4.032 12.646 16.081,0.564 1.209 31.131 44.460,0,7.646 7.968 8.112 9.246,0,0,0.266 0.289 0.690 0.722,20.927 21.915 24.903 29.915,0,0,0,10,False,40.17416833315927,0.48800223214285715,95.74983485564091,0.4666666666666667,20.0,0.0,120.0,63.77364873792738,0.0,1.0,0.0,0.75,,0
