,sample,X_x,Y_x,date_x,taxon,HSI,RSI,X_y,Y_y,date_y,abundance,prediction,observation
866,73,648585,9885921,-100000000000000.0,Baetidae,0.07916525107723939,1.0,648585,9885921,-100000000000000.0,0,0.07916525107723939,0
878,74,584703,9819470,-100000000000000.0,Baetidae,0.09092598142366139,1.0,584703,9819470,-100000000000000.0,0,0.09092598142366139,0
890,75,635599,9901614,-100000000000000.0,Baetidae,0.15019108914146315,1.0,635599,9901614,-100000000000000.0,0,0.15019108914146315,0
902,76,704692,9826022,-100000000000000.0,Baetidae,0.0,1.0,704692,9826022,-100000000000000.0,0,0.0,0
914,77,683690,9763520,-100000000000000.0,Baetidae,0.4920849198400475,1.0,683690,9763520,-100000000000000.0,0,0.4920849198400475,0
926,78,688888,9767770,-100000000000000.0,Baetidae,0.21298226638994194,1.0,688888,9767770,-100000000000000.0,0,0.21298226638994194,0
938,79,660326,9798315,-100000000000000.0,Baetidae,0.0,1.0,660326,9798315,-100000000000000.0,0,0.0,0
950,80,680080,9842110,-100000000000000.0,Baetidae,0.16381996750047656,1.0,680080,9842110,-100000000000000.0,0,0.16381996750047656,0
962,81,660316,9790963,-100000000000000.0,Baetidae,0.0,1.0,660316,9790963,-100000000000000.0,0,0.0,0
974,82,585663,9831265,-100000000000000.0,Baetidae,0.29095381385118047,1.0,585663,9831265,-100000000000000.0,0,0.29095381385118047,0
986,83,662501,9946057,-100000000000000.0,Baetidae,0.03971903732764372,1.0,662501,9946057,-100000000000000.0,0,0.03971903732764372,0
998,84,689952,9764180,-100000000000000.0,Baetidae,0.5001857926903068,1.0,689952,9764180,-100000000000000.0,0,0.5001857926903068,0
1010,85,678422,9762674,-100000000000000.0,Baetidae,0.4611758791632253,1.0,678422,9762674,-100000000000000.0,0,0.4611758791632253,0
1022,86,687899,9866116,-100000000000000.0,Baetidae,0.11485935330692607,1.0,687899,9866116,-100000000000000.0,0,0.11485935330692607,0
1034,87,687544,9932384,-100000000000000.0,Baetidae,0.0403406222973099,1.0,687544,9932384,-100000000000000.0,0,0.0403406222973099,0
1046,88,637089,9901117,-100000000000000.0,Baetidae,0.1929045749134921,1.0,637089,9901117,-100000000000000.0,0,0.1929045749134921,0
1058,89,584703,9819470,-100000000000000.0,Baetidae,0.09092598142366139,1.0,584703,9819470,-100000000000000.0,0,0.09092598142366139,0
1070,90,586330,9816671,-100000000000000.0,Baetidae,0.0,1.0,586330,9816671,-100000000000000.0,0,0.0,0
1082,91,704100,9825543,-100000000000000.0,Baetidae,0.0,1.0,704100,9825543,-100000000000000.0,0,0.0,0
1094,92,633831,9908639,-100000000000000.0,Baetidae,0.0,1.0,633831,9908639,-100000000000000.0,0,0.0,0
1103,93,635599,9901614,-100000000000000.0,Baetidae,0.15019108914146315,1.0,635599,9901614,-100000000000000.0,0,0.15019108914146315,0
1115,94,640291,9901484,-100000000000000.0,Baetidae,0.16009227790867359,1.0,640291,9901484,-100000000000000.0,0,0.16009227790867359,0
1127,95,656713,9906694,-100000000000000.0,Baetidae,0.05886988635646638,1.0,656713,9906694,-100000000000000.0,0,0.05886988635646638,0
1138,96,683594,9934449,-100000000000000.0,Baetidae,0.058562184462200115,1.0,683594,9934449,-100000000000000.0,0,0.058562184462200115,0
1150,97,686015,9763355,-100000000000000.0,Baetidae,0.6948749678939797,1.0,686015,9763355,-100000000000000.0,0,0.6948749678939797,0
1162,98,680080,9842110,-100000000000000.0,Baetidae,0.16381996750047656,1.0,680080,9842110,-100000000000000.0,0,0.16381996750047656,0
1174,99,635599,9901614,-100000000000000.0,Baetidae,0.15019108914146315,1.0,635599,9901614,-100000000000000.0,0,0.15019108914146315,0
1186,100,648585,9885921,-100000000000000.0,Baetidae,0.07916525107723939,1.0,648585,9885921,-100000000000000.0,0,0.07916525107723939,0
